gene.name ,group
Ythdf3,Low_binding
Snx27,Low_binding
Elfn2,Low_binding
Fastk,Low_binding
Foxo3,Low_binding
Mark1,Low_binding
Ncoa7,Low_binding
Mpped1,Low_binding
Smarcd1,Low_binding
Cbarp,Low_binding
Ipo8,Low_binding
Ccp110,Low_binding
Nploc4,Low_binding
Ap1g1,Low_binding
Pdzd4,Low_binding
Sp4,Low_binding
Mtmr2,Low_binding
Rfx3,Low_binding
Exoc5,Low_binding
Camk2d,Low_binding
Supt6,Low_binding
Jade2,Low_binding
Fam107a,Low_binding
Cdh22,Low_binding
Slc6a8,Low_binding
Dvl3,Low_binding
Papd7,Low_binding
Zfpm2,Low_binding
Mast4,Low_binding
Rab31,Low_binding
Scrib,Low_binding
Arnt2,Low_binding
Tanc1,Low_binding
Kat5,Low_binding
Syn2,Low_binding
Rragc,Low_binding
Adgrb1,Low_binding
Ano3,Low_binding
Tsc22d1,Low_binding
Abhd17a,Low_binding
Map4k5,Low_binding
Cntnap1,Low_binding
Lgi1,Low_binding
Kcnh3,Low_binding
Nr1h2,Low_binding
Cpeb3,Low_binding
Ppp1r12b,Low_binding
Npas3,Low_binding
Copg2,Low_binding
Senp7,Low_binding
Phkb,Low_binding
Klhl23,Low_binding
Itfg1,Low_binding
Brpf3,Low_binding
Rlf,Low_binding
Ankrd50,Low_binding
Mllt4,Low_binding
Vwa8,Low_binding
Mlh3,Low_binding
Zdhhc14,Low_binding
Eif4enif1,Low_binding
Alms1,Low_binding
5330417C22Rik,Low_binding
Sept5,Low_binding
Zfp831,Low_binding
Dyrk1b,Low_binding
Focad,Low_binding
Plcl2,Low_binding
Depdc5,Low_binding
Trp53bp1,Low_binding
Scn1b,Low_binding
Usp42,Low_binding
Nup98,Low_binding
Larp4b,Low_binding
Ttyh1,Low_binding
Szt2,Low_binding
Ahdc1,Low_binding
Brd2,Low_binding
Map3k9,Low_binding
Rhot1,Low_binding
Hdlbp,Low_binding
Cpe,Low_binding
Atp2b1,Low_binding
Ranbp9,Low_binding
Ubqln1,Low_binding
Lpin2,Low_binding
Kctd3,Low_binding
Mbd3,Low_binding
Sec31a,Low_binding
Brinp3,Low_binding
Pak6,Low_binding
Phka1,Low_binding
Thoc2,Low_binding
Pogz,Low_binding
Aqp11,Low_binding
Zswim8,Low_binding
Atp9a,Low_binding
Mcf2l,Low_binding
Ddhd1,Low_binding
Carm1,Low_binding
Plaa,Low_binding
Tbc1d20,Low_binding
Dgkd,Low_binding
Stac2,Low_binding
2410089E03Rik,Low_binding
Jak1,Low_binding
Garnl3,Low_binding
Gas2l1,Low_binding
Med25,Low_binding
Kdm7a,Low_binding
Dhx57,Low_binding
Ipo11,Low_binding
Tacc2,Low_binding
Rapgef5,Low_binding
Tmem230,Low_binding
Ryk,Low_binding
Sugp2,Low_binding
Scaf4,Low_binding
Fnbp1,Low_binding
Ccm2,Low_binding
Dclk1,Low_binding
Add2,Low_binding
Spast,Low_binding
Upf2,Low_binding
Aktip,Low_binding
Pde10a,Low_binding
Oxr1,Low_binding
Tnik,Low_binding
Setd1a,Low_binding
Flrt2,Low_binding
Ctc1,Low_binding
Slc44a1,Low_binding
Ralgapa2,Low_binding
Tnr,Low_binding
Ubqln4,Low_binding
Atp11a,Low_binding
Rgmb,Low_binding
Taok2,Low_binding
Mtmr6,Low_binding
Fam171a1,Low_binding
Hnrnpl,Low_binding
Dennd2a,Low_binding
Dock7,Low_binding
Myrip,Low_binding
Rbfox3,Low_binding
Josd1,Low_binding
Tef,Low_binding
Tnrc6a,Low_binding
Gabbr2,Low_binding
Per1,Low_binding
Tnrc6c,Low_binding
Nrg3,Low_binding
Ptprz1,Low_binding
Samd4,Low_binding
Top2b,Low_binding
Tet2,Low_binding
Gtf3c1,Low_binding
Klhl24,Low_binding
Smchd1,Low_binding
Fam178a,Low_binding
Slitrk1,Low_binding
Dbi,Low_binding
Kcmf1,Low_binding
Calm1,Low_binding
Ankhd1,Low_binding
Matr3,Low_binding
Atg13,Low_binding
Ptprf,Low_binding
Zmym1,Low_binding
Scnn1a,Low_binding
Sf1,Low_binding
Snx25,Low_binding
Gnpat,Low_binding
Dok6,Low_binding
Csrp2bp,Low_binding
Fam155a,Low_binding
Llgl1,Low_binding
Tab3,Low_binding
Dip2a,Low_binding
Zfc3h1,Low_binding
Pdxdc1,Low_binding
Iars,Low_binding
Phc1,Low_binding
Pcbp2,Low_binding
Zc3h6,Low_binding
Fem1c,Low_binding
Clk2,Low_binding
Btbd6,Low_binding
Ncs1,Low_binding
Pitpnm3,Low_binding
Sec24d,Low_binding
Abl2,Low_binding
Wdr47,Low_binding
Cacna1d,Low_binding
Plekhh1,Low_binding
Ank1,Low_binding
Tsc22d2,Low_binding
Ptpn3,Low_binding
Ctnna2,Low_binding
Trpc1,Low_binding
Paip1,Low_binding
Aida,Low_binding
Adnp2,Low_binding
Lrrc41,Low_binding
Gclm,Low_binding
Stard10,Low_binding
Ajap1,Low_binding
Whsc1,Low_binding
Fndc3a,Low_binding
Golga7b,Low_binding
Magi1,Low_binding
Chrm1,Low_binding
Atg3,Low_binding
Dennd4c,Low_binding
Pafah1b1,Low_binding
Usp46,Low_binding
Kdm6a,Low_binding
Rexo1,Low_binding
Zswim6,Low_binding
Parg,Low_binding
Strn3,Low_binding
Trhde,Low_binding
Dennd1b,Low_binding
Apbb2,Low_binding
Slc12a2,Low_binding
Fryl,Low_binding
Lrrc58,Low_binding
Pde1b,Low_binding
Megf9,Low_binding
Atxn2l,Low_binding
Ppip5k1,Low_binding
Vps26b,Low_binding
Stk11,Low_binding
Kat2b,Low_binding
Rbfox1,Low_binding
Dtx4,Low_binding
Usp54,Low_binding
S100pbp,Low_binding
Neurod6,Low_binding
Med16,Low_binding
Ctbp1,Low_binding
Usp53,Low_binding
Chml,Low_binding
Rpl4,Low_binding
Nup205,Low_binding
Sidt2,Low_binding
Eef1a2,Low_binding
Cep104,Low_binding
Mark3,Low_binding
Mff,Low_binding
Tmeff2,Low_binding
Pld3,Low_binding
Cyth1,Low_binding
Kcna2,Low_binding
Bcor,Low_binding
Stag1,Low_binding
Mtf1,Low_binding
Dlg5,Low_binding
Syt16,Low_binding
Nrcam,Low_binding
Pdgfa,Low_binding
Ints1,Low_binding
Nadk,Low_binding
Slitrk4,Low_binding
Tox,Low_binding
Cyfip1,Low_binding
Ddx24,Low_binding
Kcnh1,Low_binding
B4galt2,Low_binding
Smap1,Low_binding
Slc45a4,Low_binding
Ppp2cb,Low_binding
Atp8b2,Low_binding
Fgf12,Low_binding
Maged1,Low_binding
Osbpl6,Low_binding
Vps41,Low_binding
Opa1,Low_binding
Phf12,Low_binding
Nrxn1,Low_binding
Dsel,Low_binding
Abhd17c,Low_binding
Kpnb1,Low_binding
Dtna,Low_binding
Lrfn3,Low_binding
Eps8,Low_binding
Zfp281,Low_binding
Zfp772,Low_binding
Zfp865,Low_binding
Klhdc3,Low_binding
Fam120b,Low_binding
Trim8,Low_binding
Gprasp1,Low_binding
Sept8,Low_binding
Ablim1,Low_binding
Fbxw7,Low_binding
2210408I21Rik,Low_binding
Ino80,Low_binding
Klf13,Low_binding
Cln5,Low_binding
Zzz3,Low_binding
Ddx5,Low_binding
Zbtb7a,Low_binding
Parp8,Low_binding
Dctn1,Low_binding
Csnk1a1,Low_binding
Ppp1cb,Low_binding
Ahctf1,Low_binding
Epn2,Low_binding
Tmem44,Low_binding
Nphp1,Low_binding
Phf24,Low_binding
Purg,Low_binding
Slk,Low_binding
Cnot2,Low_binding
Tmem246,Low_binding
Sh3d19,Low_binding
Kcnc1,Low_binding
Exoc6,Low_binding
Fermt2,Low_binding
Csnk2a2,Low_binding
Ablim2,Low_binding
Gapvd1,Low_binding
2700094K13Rik,Low_binding
Limk2,Low_binding
Ttc28,Low_binding
Mamld1,Low_binding
Drp2,Low_binding
Agpat3,Low_binding
Nr1d1,Low_binding
Atp8a1,Low_binding
Cnot6,Low_binding
Zfp362,Low_binding
Smurf1,Low_binding
Robo1,Low_binding
Mn1,Low_binding
Neurl1b,Low_binding
Ncapd3,Low_binding
Fam81a,Low_binding
Kcnj11,Low_binding
Man1a2,Low_binding
Celsr3,Low_binding
Taf15,Low_binding
Yme1l1,Low_binding
Cnnm1,Low_binding
Zfp386,Low_binding
Txndc11,Low_binding
A230046K03Rik,Low_binding
Pcmtd1,Low_binding
Adcy3,Low_binding
Irak1,Low_binding
Dhx30,Low_binding
Hmgcs1,Low_binding
Cog5,Low_binding
Diaph2,Low_binding
Foxk1,Low_binding
Cacna1h,Low_binding
Elfn1,Low_binding
Rpl13,Low_binding
Mdn1,Low_binding
Elmo2,Low_binding
Smg5,Low_binding
Mkl1,Low_binding
Ccdc85a,Low_binding
Osbpl8,Low_binding
Smarcc1,Low_binding
Vezt,Low_binding
Zfp318,Low_binding
Gmcl1,Low_binding
Plk3,Low_binding
Cpt1c,Low_binding
Zmynd8,Low_binding
Rora,Low_binding
Rps25,Low_binding
Enah,Low_binding
Ireb2,Low_binding
Mfsd6,Low_binding
Zfp946,Low_binding
Clip4,Low_binding
Nt5dc3,Low_binding
Tbck,Low_binding
Atg2a,Low_binding
Sacm1l,Low_binding
Cdk2ap1,Low_binding
Rnf208,Low_binding
Pak1,Low_binding
Spred2,Low_binding
Dvl1,Low_binding
Usp33,Low_binding
Zfp37,Low_binding
Gon4l,Low_binding
Papd5,Low_binding
Asxl2,Low_binding
Dpp9,Low_binding
Slc25a39,Low_binding
Phtf1,Low_binding
Xpo4,Low_binding
Taf1,Low_binding
Farsb,Low_binding
Tiparp,Low_binding
Cpeb4,Low_binding
Rapgef6,Low_binding
Set,Low_binding
Vkorc1l1,Low_binding
Rpl18a,Low_binding
Mgat5,Low_binding
Prepl,Low_binding
Rpl23a,Low_binding
Limch1,Low_binding
Rnf14,Low_binding
Slc25a46,Low_binding
Gak,Low_binding
Usp38,Low_binding
Trank1,Low_binding
Mrpl37,Low_binding
Kif1c,Low_binding
Gcc2,Low_binding
Vps39,Low_binding
Gfap,Low_binding
A830010M20Rik,Low_binding
Wipi2,Low_binding
Foxg1,Low_binding
Cnp,Low_binding
Srp72,Low_binding
Nbas,Low_binding
Bdp1,Low_binding
Plce1,Low_binding
Mapk10,Low_binding
Med12,Low_binding
Trpm3,Low_binding
Klhl2,Low_binding
Mtmr4,Low_binding
Csrnp3,Low_binding
Gabra1,Low_binding
Usp45,Low_binding
Wdr48,Low_binding
Itsn2,Low_binding
Pkd1,Low_binding
Fmnl1,Low_binding
Mgat3,Low_binding
Fmn1,Low_binding
Hs2st1,Low_binding
Apoe,Low_binding
Abcd2,Low_binding
Nrgn,Low_binding
Coro2a,Low_binding
Fhod3,Low_binding
Rpl10,Low_binding
Dgkb,Low_binding
Pde4b,Low_binding
Baz1b,Low_binding
Glud1,Low_binding
Uspl1,Low_binding
Hepacam,Low_binding
Cacng3,Low_binding
Plekhm1,Low_binding
Sulf2,Low_binding
Pnpla6,Low_binding
Nol4l,Low_binding
Nek9,Low_binding
Gnl1,Low_binding
Tdrd7,Low_binding
Slx4,Low_binding
Naf1,Low_binding
Lrrc16a,Low_binding
Slitrk2,Low_binding
Abhd12,Low_binding
Lsm12,Low_binding
Cox14,Low_binding
Phrf1,Low_binding
Tatdn2,Low_binding
Orc4,Low_binding
Kcnip2,Low_binding
Sdc3,Low_binding
Nf2,Low_binding
Bcl11b,Low_binding
Dcaf12,Low_binding
Lgr4,Low_binding
Smcr8,Low_binding
Phc2,Low_binding
Rasgef1b,Low_binding
Agpat1,Low_binding
Dnm1l,Low_binding
Bcorl1,Low_binding
Vwc2l,Low_binding
Gpr22,Low_binding
Rmnd5a,Low_binding
Gatsl2,Low_binding
Gal3st3,Low_binding
Tlk2,Low_binding
Fut8,Low_binding
Cul1,Low_binding
Znfx1,Low_binding
Mtmr9,Low_binding
Plekha6,Low_binding
Lztr1,Low_binding
Ptov1,Low_binding
Dchs1,Low_binding
Lingo2,Low_binding
Hdac9,Low_binding
Dlg3,Low_binding
Chn1,Low_binding
Zfp53,Low_binding
Ddb1,Low_binding
Sppl2a,Low_binding
Heg1,Low_binding
Bod1l,Low_binding
Zfyve26,Low_binding
Rpl15,Low_binding
Tmem184b,Low_binding
Hectd2,Low_binding
Fbxw5,Low_binding
Ptpa,Low_binding
Ggps1,Low_binding
Phf20,Low_binding
Trappc6b,Low_binding
Ablim3,Low_binding
Ap3d1,Low_binding
Tnfrsf21,Low_binding
Utp20,Low_binding
Phyhip,Low_binding
Fgfr1,Low_binding
Ubr2,Low_binding
Uhmk1,Low_binding
Zdhhc4,Low_binding
Rassf2,Low_binding
Zfp846,Low_binding
Nwd1,Low_binding
Scyl1,Low_binding
Osbpl1a,Low_binding
Osbp2,Low_binding
Arhgef9,Low_binding
Tmcc1,Low_binding
Nacad,Low_binding
Atr,Low_binding
Pitrm1,Low_binding
Trp53bp2,Low_binding
Rpl3,Low_binding
Rpl13a,Low_binding
Rgma,Low_binding
Rsbn1,Low_binding
Cbx6,Low_binding
Avl9,Low_binding
Eif3a,Low_binding
Sdccag3,Low_binding
Kdm5c,Low_binding
Rnasek,Low_binding
Tle4,Low_binding
Acox3,Low_binding
Chrm3,Low_binding
Chd9,Low_binding
Frmpd3,Low_binding
Cpxm1,Low_binding
Shprh,Low_binding
Kat2a,Low_binding
Cyb5r4,Low_binding
Slc35a5,Low_binding
Hace1,Low_binding
Tubgcp3,Low_binding
Ube2e3,Low_binding
Ints8,Low_binding
Tnpo1,Low_binding
Nfe2l1,Low_binding
Ptpn13,Low_binding
Exoc4,Low_binding
Rad17,Low_binding
Kcnc4,Low_binding
Ralgps2,Low_binding
Rubcn,Low_binding
Xpo5,Low_binding
Abcd3,Low_binding
Ppp6r2,Low_binding
Rpl12,Low_binding
Specc1l,Low_binding
Smc6,Low_binding
Lrfn5,Low_binding
Zcchc11,Low_binding
Chm,Low_binding
Acsl3,Low_binding
Naa60,Low_binding
Zfp827,Low_binding
Syne1,Low_binding
Clptm1,Low_binding
Tle3,Low_binding
Adcy9,Low_binding
Add1,Low_binding
Ppp1r21,Low_binding
Stk24,Low_binding
Prkca,Low_binding
Nav2,Low_binding
Sec22a,Low_binding
Frs3,Low_binding
Fam65b,Low_binding
Igf1r,Low_binding
Dpysl2,Low_binding
Samd8,Low_binding
Trpc4ap,Low_binding
Lin54,Low_binding
Lrp6,Low_binding
Lrrn1,Low_binding
Scai,Low_binding
3110052M02Rik,Low_binding
Hsp90ab1,Low_binding
Nfib,Low_binding
Fbxw11,Low_binding
Abcb7,Low_binding
Prickle1,Low_binding
Mpp5,Low_binding
Tmem8b,Low_binding
Zbtb25,Low_binding
Eif5a2,Low_binding
Zfp608,Low_binding
Mpdz,Low_binding
Mroh1,Low_binding
Prkcg,Low_binding
Gfod1,Low_binding
Epb41l2,Low_binding
Slc24a2,Low_binding
Ank,Low_binding
Rabgap1,Low_binding
Dhx36,Low_binding
Ppm1a,Low_binding
Desi1,Low_binding
Eml2,Low_binding
Mtus2,Low_binding
Kcna3,Low_binding
Cdkl3,Low_binding
Cdh8,Low_binding
Adap1,Low_binding
Gpd2,Low_binding
Tbc1d5,Low_binding
Arid4b,Low_binding
Pik3r2,Low_binding
Orc3,Low_binding
Sema6b,Low_binding
Topbp1,Low_binding
Mex3c,Low_binding
B4galnt4,Low_binding
Prdm11,Low_binding
Mzt1,Low_binding
Atat1,Low_binding
St8sia3,Low_binding
Cdk17,Low_binding
Dyrk2,Low_binding
Kdm5b,Low_binding
Scaper,Low_binding
Trip11,Low_binding
Erc2,Low_binding
Hnrnpul2,Low_binding
Bcl7c,Low_binding
Mlip,Low_binding
Ppfia2,Low_binding
Cul2,Low_binding
Necab2,Low_binding
D8Ertd82e,Low_binding
Carf,Low_binding
Amph,Low_binding
Mbnl1,Low_binding
Pcif1,Low_binding
Celf5,Low_binding
Eif3e,Low_binding
Gatad2a,Low_binding
Grm4,Low_binding
Acvr1b,Low_binding
Usp25,Low_binding
Minpp1,Low_binding
4930453N24Rik,Low_binding
Gpatch8,Low_binding
Ambra1,Low_binding
Mbtps1,Low_binding
Suds3,Low_binding
Vprbp,Low_binding
Pcnt,Low_binding
Zfp64,Low_binding
Lonrf2,Low_binding
Mau2,Low_binding
Tomm70a,Low_binding
Smg8,Low_binding
Rere,Low_binding
Arf3,Low_binding
Pja2,Low_binding
Tspan5,Low_binding
Tub,Low_binding
Nab1,Low_binding
Kdm3b,Low_binding
Cdkl2,Low_binding
Tbc1d8b,Low_binding
Rpl29,Low_binding
Bclaf1,Low_binding
Cnot7,Low_binding
Nt5c2,Low_binding
Zmym3,Low_binding
Zranb1,Low_binding
0610010F05Rik,Low_binding
Hspa8,Low_binding
Cdc123,Low_binding
Slc25a12,Low_binding
Klhl9,Low_binding
Ak3,Low_binding
Cdc37l1,Low_binding
Dse,Low_binding
Cacna2d1,Low_binding
Ankrd13b,Low_binding
Tubgcp4,Low_binding
Tubgcp6,Low_binding
Tpp2,Low_binding
Pkn2,Low_binding
Ntrk2,Low_binding
Baz2b,Low_binding
Ezh1,Low_binding
Tbc1d32,Low_binding
Iqgap2,Low_binding
Cdh12,Low_binding
Ptprn,Low_binding
Gatad2b,Low_binding
Slit2,Low_binding
Prpf4b,Low_binding
Kcnq5,Low_binding
Dgkg,Low_binding
Uty,Low_binding
Ndrg3,Low_binding
Slmap,Low_binding
Rab23,Low_binding
Pink1,Low_binding
Dpp10,Low_binding
Spg11,Low_binding
Golgb1,Low_binding
S1pr1,Low_binding
Zfp51,Low_binding
Plch1,Low_binding
Ctdnep1,Low_binding
Pea15a,Low_binding
Cldn11,Low_binding
Dock11,Low_binding
Neo1,Low_binding
Aes,Low_binding
Rps6ka6,Low_binding
Mgat5b,Low_binding
Yeats4,Low_binding
Rpl9,Low_binding
Kbtbd2,Low_binding
Pgr,Low_binding
Epm2aip1,Low_binding
Hlf,Low_binding
Fam49b,Low_binding
Thada,Low_binding
Tsc1,Low_binding
Ephx4,Low_binding
Armcx4,Low_binding
Kras,Low_binding
Rab11fip4,Low_binding
Xrn1,Low_binding
Mib1,Low_binding
Kctd13,Low_binding
Skil,Low_binding
Snrk,Low_binding
Asxl1,Low_binding
Fcho2,Low_binding
Syt1,Low_binding
Psmd2,Low_binding
Kcnj3,Low_binding
Sypl,Low_binding
Nbr1,Low_binding
Raver2,Low_binding
Adipor1,Low_binding
Ddhd2,Low_binding
Ahi1,Low_binding
Klc1,Low_binding
Gclc,Low_binding
Fnip1,Low_binding
Gcn1l1,Low_binding
Fgf14,Low_binding
Tgfbrap1,Low_binding
Atcay,Low_binding
Nkrf,Low_binding
Pip5k1a,Low_binding
Rnf216,Low_binding
Phldb1,Low_binding
Ttc9,Low_binding
Disp2,Low_binding
Ccdc174,Low_binding
Rtn4r,Low_binding
Usp2,Low_binding
Tmbim1,Low_binding
Zfp788,Low_binding
Rpl37a,Low_binding
Soga1,Low_binding
Epb41l3,Low_binding
Arhgef26,Low_binding
Mlxip,Low_binding
Zmym6,Low_binding
St6galnac6,Low_binding
Dtnb,Low_binding
Rnf13,Low_binding
Smpd1,Low_binding
Eif2ak4,Low_binding
Ugt8a,Low_binding
D1Ertd622e,Low_binding
Rps10,Low_binding
E330009J07Rik,Low_binding
Ercc6l2,Low_binding
Ppp2r2d,Low_binding
Homez,Low_binding
Fam69a,Low_binding
Noct,Low_binding
Plch2,Low_binding
Ppp4r1,Low_binding
Cabp7,Low_binding
Vipas39,Low_binding
Fam63b,Low_binding
Tcerg1,Low_binding
Spop,Low_binding
Prmt8,Low_binding
Stau2,Low_binding
Taf3,Low_binding
Gga1,Low_binding
Smarcal1,Low_binding
Ptpn12,Low_binding
Nacc2,Low_binding
Rad23b,Low_binding
Tmem229a,Low_binding
Zfp62,Low_binding
Zfp944,Low_binding
Usmg5,Low_binding
Ints3,Low_binding
Tbcd,Low_binding
Thnsl1,Low_binding
Otud4,Low_binding
Plcd3,Low_binding
Ppp2r2a,Low_binding
Prmt5,Low_binding
Atp1a2,Low_binding
Ttll4,Low_binding
Slain1,Low_binding
Kl,Low_binding
Pura,Low_binding
Ap3b2,Low_binding
Fmr1,Low_binding
Ust,Low_binding
Hras,Low_binding
2900026A02Rik,Low_binding
Purb,Low_binding
Kcnab2,Low_binding
Srpk2,Low_binding
Pik3r4,Low_binding
Zxdc,Low_binding
Fam20b,Low_binding
Pcf11,Low_binding
Trpc4,Low_binding
Klhl22,Low_binding
Cog3,Low_binding
Rpgr,Low_binding
Lrp8,Low_binding
Vps53,Low_binding
St3gal5,Low_binding
Gal3st1,Low_binding
Plxnb2,Low_binding
Nup188,Low_binding
Arpc2,Low_binding
Ube2b,Low_binding
Pex5l,Low_binding
Mpnd,Low_binding
Eif2d,Low_binding
Phka2,Low_binding
Lrp1,Low_binding
Ints7,Low_binding
Fbrs,Low_binding
Lmo7,Low_binding
Elavl3,Low_binding
Nkain1,Low_binding
Mtrr,Low_binding
Zfp704,Low_binding
Cerk,Low_binding
Pou3f3,Low_binding
Cdk7,Low_binding
Rpl6,Low_binding
Actb,Low_binding
Capn15,Low_binding
Ryr3,Low_binding
Ppp2r1a,Low_binding
Tank,Low_binding
Crebrf,Low_binding
Bag4,Low_binding
Casp8ap2,Low_binding
C2cd2l,Low_binding
Naa15,Low_binding
Mpp6,Low_binding
Adgra3,Low_binding
Etv6,Low_binding
Dcaf11,Low_binding
Ppm1e,Low_binding
Repin1,Low_binding
Ranbp6,Low_binding
Rgs7bp,Low_binding
Eif2s2,Low_binding
Senp5,Low_binding
Scn3a,Low_binding
Fgd1,Low_binding
Mettl9,Low_binding
Clcn6,Low_binding
Rtn4rl1,Low_binding
B3galt2,Low_binding
Mios,Low_binding
Rps6ka3,Low_binding
Nup62,Low_binding
Adcy2,Low_binding
Thrap3,Low_binding
Zfp777,Low_binding
Nfic,Low_binding
Dnmt1,Low_binding
Akirin1,Low_binding
Ap3s2,Low_binding
Map6,Low_binding
Inpp5j,Low_binding
Pcdh1,Low_binding
Phip,Low_binding
Pdk2,Low_binding
Kcnh2,Low_binding
Brd7,Low_binding
Sh3rf3,Low_binding
Mapre3,Low_binding
Zswim5,Low_binding
Ntng1,Low_binding
Abhd4,Low_binding
Ankrd28,Low_binding
Unc13b,Low_binding
Eif5,Low_binding
Igsf21,Low_binding
Zbtb41,Low_binding
Fgfr3,Low_binding
Cops2,Low_binding
Zhx2,Low_binding
Flrt1,Low_binding
Slc4a10,Low_binding
Gnaz,Low_binding
Fam193a,Low_binding
Tom1l1,Low_binding
Rps17,Low_binding
Aasdh,Low_binding
Usp8,Low_binding
Nell2,Low_binding
Gldc,Low_binding
Tcf12,Low_binding
Crtc3,Low_binding
Nol6,Low_binding
Rpl39,Low_binding
Kif13b,Low_binding
Coro2b,Low_binding
Ctcf,Low_binding
Glcci1,Low_binding
Prkaa2,Low_binding
Tubgcp5,Low_binding
Elavl4,Low_binding
Hnrnpa3,Low_binding
Limk1,Low_binding
Zfand2a,Low_binding
Usp28,Low_binding
Lct,Low_binding
D430042O09Rik,Low_binding
Zfp871,Low_binding
Ccnt1,Low_binding
Pdp1,Low_binding
Fbxl2,Low_binding
Tns1,Low_binding
Camkk2,Low_binding
Ppfia4,Low_binding
Usp48,Low_binding
Cux1,Low_binding
Larp4,Low_binding
Celf3,Low_binding
Ophn1,Low_binding
Ubp1,Low_binding
Pou6f1,Low_binding
Unc5c,Low_binding
E130308A19Rik,Low_binding
Rasa3,Low_binding
Zfp790,Low_binding
Erbb3,Low_binding
Tle1,Low_binding
Tpst1,Low_binding
Mapkap1,Low_binding
Pank3,Low_binding
Rab3gap2,Low_binding
Ptpn5,Low_binding
Pam,Low_binding
Arl5a,Low_binding
Ip6k1,Low_binding
Ppp1r15b,Low_binding
Fam131b,Low_binding
Rad21,Low_binding
Zfp445,Low_binding
Sesn3,Low_binding
Eml1,Low_binding
Hnrnpu,Low_binding
Tbl1x,Low_binding
Ephb1,Low_binding
Tbc1d22a,Low_binding
Plcxd2,Low_binding
Rpl5,Low_binding
Tbc1d19,Low_binding
Lmtk3,Low_binding
Osbpl9,Low_binding
Ptprk,Low_binding
Npr2,Low_binding
Dcaf8,Low_binding
Exd2,Low_binding
Rbm6,Low_binding
Ergic1,Low_binding
Hspa4l,Low_binding
Tbc1d24,Low_binding
Atp5j,Low_binding
Inf2,Low_binding
Ttyh3,Low_binding
Raver1,Low_binding
Brwd1,Low_binding
Mtmr7,Low_binding
Ywhaz,Low_binding
Lpar1,Low_binding
Diexf,Low_binding
Klhl5,Low_binding
Elmod3,Low_binding
Ssh1,Low_binding
Copb1,Low_binding
Car2,Low_binding
Eif5b,Low_binding
Cnot3,Low_binding
Evi5l,Low_binding
Cbx8,Low_binding
Lrrc49,Low_binding
Pot1a,Low_binding
Cluh,Low_binding
Dstyk,Low_binding
Kcna4,Low_binding
Tcaf1,Low_binding
Rnf145,Low_binding
Ncl,Low_binding
Rpl27a,Low_binding
Ss18l1,Low_binding
Tspyl2,Low_binding
Map3k4,Low_binding
Aggf1,Low_binding
Ppp2r3c,Low_binding
Rab28,Low_binding
Pomgnt1,Low_binding
Pde1a,Low_binding
Mpped2,Low_binding
Ttc17,Low_binding
Atrn,Low_binding
Rps4x,Low_binding
Rbm26,Low_binding
Sin3a,Low_binding
Fundc2,Low_binding
Vezf1,Low_binding
Mcc,Low_binding
Foxo4,Low_binding
Mcm3ap,Low_binding
D5Ertd579e,Low_binding
Atp2b4,Low_binding
Hdac6,Low_binding
Gab2,Low_binding
Xkr4,Low_binding
Ercc3,Low_binding
Psmd1,Low_binding
Cdadc1,Low_binding
Tada2b,Low_binding
Zcchc2,Low_binding
Fbxo42,Low_binding
Ccar1,Low_binding
Mdm4,Low_binding
Kif26b,Low_binding
Cdh20,Low_binding
Tecpr2,Low_binding
Gna11,Low_binding
Zbed6,Low_binding
Acap3,Low_binding
Zcchc6,Low_binding
Camk2g,Low_binding
Ube2k,Low_binding
Rspry1,Low_binding
Inppl1,Low_binding
Vamp2,Low_binding
Caprin1,Low_binding
Poldip2,Low_binding
Pcid2,Low_binding
Grk6,Low_binding
Hnrnpk,Low_binding
Mdc1,Low_binding
Ppp2r5a,Low_binding
Pex6,Low_binding
Ddx42,Low_binding
Atp1b1,Low_binding
Ptpn9,Low_binding
Inpp5b,Low_binding
Actg1,Low_binding
Nol11,Low_binding
Rps8,Low_binding
Hip1r,Low_binding
Eftud2,Low_binding
Map3k13,Low_binding
Mllt3,Low_binding
Rasal1,Low_binding
Gtf3c3,Low_binding
March6,Low_binding
Arl8a,Low_binding
Dnm3,Low_binding
Kcnip3,Low_binding
Map1s,Low_binding
Bcl6,Low_binding
Apba2,Low_binding
Tceb3,Low_binding
Arhgdia,Low_binding
Tet3,Low_binding
Ptpn11,Low_binding
Fezf2,Low_binding
Traf6,Low_binding
9030624J02Rik,Low_binding
Sv2b,Low_binding
Tsg101,Low_binding
Atp2a2,Low_binding
Sowaha,Low_binding
Rbsn,Low_binding
Gapdh,Low_binding
Gria1,Low_binding
C1galt1,Low_binding
Kcnc3,Low_binding
Traf7,Low_binding
Casc3,Low_binding
Scyl2,Low_binding
Ncam2,Low_binding
Usp47,Low_binding
Aff1,Low_binding
Cmtm4,Low_binding
Fnip2,Low_binding
Rab27b,Low_binding
Ppp2ca,Low_binding
Tex10,Low_binding
Cdh18,Low_binding
Mgea5,Low_binding
Cds2,Low_binding
Ptpdc1,Low_binding
Satb2,Low_binding
Kcng1,Low_binding
Suv420h1,Low_binding
Ino80d,Low_binding
Qars,Low_binding
Bcas3,Low_binding
Ndor1,Low_binding
Tbkbp1,Low_binding
Kifap3,Low_binding
Camsap3,Low_binding
Sall2,Low_binding
Lonp2,Low_binding
Cers2,Low_binding
Tox3,Low_binding
Cnnm2,Low_binding
Car11,Low_binding
